,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.5005
agreement_subject_verb-across_prepositional_phrase,0.499
agreement_subject_verb-across_relative_clause,0.495
agreement_subject_verb-in_question_with_aux,0.499
agreement_subject_verb-in_simple_question,0.4935
anaphor_agreement-pronoun_gender,0.552
argument_structure-dropped_argument,0.8735
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.509
binding-principle_a,0.4755
case-subjective_pronoun,0.9965
ellipsis-n_bar,0.2665
filler-gap-wh_question_object,0.124
filler-gap-wh_question_subject,0.9995
irregular-verb,0.502
island-effects-adjunct_island,0.4595
island-effects-coordinate_structure_constraint,0.453
local_attractor-in_question_with_aux,0.8045
npi_licensing-matrix_question,0.6795
npi_licensing-only_npi_licensor,0.8965
quantifiers-existential_there,0.7385
quantifiers-superlative,0.0245
