,best
agreement_determiner_noun-across_1_adjective,0.5335
agreement_determiner_noun-between_neighbors,0.5995
agreement_subject_verb-across_prepositional_phrase,0.5145
agreement_subject_verb-across_relative_clause,0.5285
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.5095
anaphor_agreement-pronoun_gender,0.524
argument_structure-dropped_argument,0.8715
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.621
binding-principle_a,0.488
case-subjective_pronoun,1.0
ellipsis-n_bar,0.665
filler-gap-wh_question_object,0.6085
filler-gap-wh_question_subject,0.953
irregular-verb,0.7455
island-effects-adjunct_island,0.481
island-effects-coordinate_structure_constraint,0.4855
local_attractor-in_question_with_aux,0.6445
npi_licensing-matrix_question,0.718
npi_licensing-only_npi_licensor,0.7975
quantifiers-existential_there,0.7945
quantifiers-superlative,0.219
