,best
agreement_determiner_noun-across_1_adjective,0.502
agreement_determiner_noun-between_neighbors,0.505
agreement_subject_verb-across_prepositional_phrase,0.493
agreement_subject_verb-across_relative_clause,0.4965
agreement_subject_verb-in_question_with_aux,0.515
agreement_subject_verb-in_simple_question,0.504
anaphor_agreement-pronoun_gender,0.5565
argument_structure-dropped_argument,0.731
argument_structure-swapped_arguments,0.993
argument_structure-transitive,0.514
binding-principle_a,0.4515
case-subjective_pronoun,0.9915
ellipsis-n_bar,0.723
filler-gap-wh_question_object,0.9265
filler-gap-wh_question_subject,1.0
irregular-verb,0.5065
island-effects-adjunct_island,0.734
island-effects-coordinate_structure_constraint,0.298
local_attractor-in_question_with_aux,0.724
npi_licensing-matrix_question,0.363
npi_licensing-only_npi_licensor,0.0
quantifiers-existential_there,0.6815
quantifiers-superlative,0.509
