,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 920.7908935546875), (1, 1072.34228515625)]","[(0, 670.3341064453125), (1, 934.2446899414062)]","[(0, 6664.79248046875), (1, 6036.29345703125)]","[(0, 4022.522705078125), (1, 3009.574462890625)]","[(0, 10969.43359375), (1, 6348.66943359375)]","[(0, 9188.830078125), (1, 9867.9111328125)]","[(0, 11075.380859375), (1, 14228.72265625)]","[(0, 1039.4473876953125), (1, 945.1377563476562)]","[(4, 50.494528377757355), (3, 59.456565856933594), (1, 76.174072265625), (5, 85.03697916666667), (0, 93.72089494977679), (2, 145.00672325721155)]","[(0, 7010.8154296875), (1, 5944.75)]","[(4, 46.289896647135414), (3, 56.367789132254465), (5, 74.2949969951923), (0, 85.58182779947917), (2, 119.28102805397727), (1, 122.28579477163461)]","[(0, 5071.97021484375), (1, 3166.502197265625)]","[(4, 695.6981090198864), (5, 770.544287109375), (1, 819.5653409090909), (3, 895.12060546875), (2, 934.83828125), (0, 1125.0640625)]","[(0, 14878.544921875), (1, 12252.5732421875)]"
1,"[(0, 1096.8397216796875), (1, 1217.6878662109375)]","[(0, 1063.2425537109375), (1, 1574.2408447265625)]","[(0, 1596.8363037109375), (1, 1417.5107421875)]","[(0, 6086.23095703125), (1, 5732.69580078125)]","[(0, 9053.4814453125), (1, 4951.29443359375)]","[(0, 10594.20703125), (1, 9497.4638671875)]","[(0, 5508.7861328125), (1, 7264.49951171875)]","[(0, 2094.97314453125), (1, 848.912109375)]","[(4, 186.9717684659091), (5, 202.8666015625), (3, 257.0842041015625), (1, 263.8872736150568), (2, 289.413427734375), (0, 373.191259765625)]","[(0, 3112.505615234375), (1, 2492.388427734375)]","[(4, 482.78466796875), (3, 604.0871803977273), (5, 622.5584605823864), (1, 724.148681640625), (0, 730.9852627840909), (2, 746.2974964488636)]","[(0, 1773.96044921875), (1, 2420.91455078125)]","[(4, 185.31541442871094), (1, 212.22586495535714), (5, 220.82850864955358), (3, 225.24339192708334), (2, 275.41367594401044), (0, 300.13514122596155)]","[(0, 2654.051025390625), (1, 2568.378173828125)]"
2,"[(0, 1177.273193359375), (1, 1298.42919921875)]","[(0, 873.300537109375), (1, 1146.399169921875)]","[(0, 2903.763916015625), (1, 2974.45654296875)]","[(0, 3960.782470703125), (1, 4503.72314453125)]","[(0, 4375.95751953125), (1, 3562.3271484375)]","[(0, 10434.525390625), (1, 11488.7978515625)]","[(0, 5114.18310546875), (1, 4328.87158203125)]","[(0, 845.8048706054688), (1, 820.6046752929688)]","[(1, 108.78636067708334), (2, 136.82527378627233), (4, 208.99564302884616), (0, 242.65940504807693), (5, 262.218505859375), (3, 470.9856622869318)]","[(0, 2766.77587890625), (1, 1699.6871337890625)]","[(4, 257.85872977120533), (1, 309.296142578125), (5, 335.89951578776044), (3, 350.8567082331731), (2, 414.357080078125), (0, 460.6609552556818)]","[(0, 6804.3046875), (1, 6226.634765625)]","[(1, 159.4356023615057), (2, 189.05955810546874), (4, 191.47878196022728), (5, 226.3578857421875), (0, 241.988720703125), (3, 293.1511962890625)]","[(0, 3956.505126953125), (1, 3576.586669921875)]"
3,"[(0, 1382.4383544921875), (1, 1688.9500732421875)]","[(0, 662.3829956054688), (1, 807.9533081054688)]","[(0, 20893.056640625), (1, 20844.05859375)]","[(0, 8604.6962890625), (1, 9662.5048828125)]","[(0, 4305.58447265625), (1, 3690.56689453125)]","[(0, 6489.78466796875), (1, 7497.20166015625)]","[(0, 9373.361328125), (1, 10944.1357421875)]","[(0, 6266.34521484375), (1, 3259.754150390625)]","[(4, 259.13725142045456), (1, 265.98233309659093), (5, 292.061083984375), (2, 296.5234619140625), (3, 336.4512939453125), (0, 342.1683349609375)]","[(0, 1771.967041015625), (1, 1308.0677490234375)]","[(2, 348.86279296875), (0, 382.1254069010417), (4, 388.67127403846155), (1, 395.1942608173077), (5, 453.29638671875), (3, 493.2828369140625)]","[(0, 2851.208251953125), (1, 1265.81103515625)]","[(4, 471.13436612215907), (1, 490.06534090909093), (5, 555.906982421875), (2, 576.53671875), (3, 673.460791015625), (0, 705.255322265625)]","[(0, 12882.8544921875), (1, 9610.6630859375)]"
4,"[(0, 1285.2034912109375), (1, 1729.99609375)]","[(0, 383.7666320800781), (1, 368.6171875)]","[(0, 24559.341796875), (1, 21596.212890625)]","[(0, 8718.21484375), (1, 11255.7275390625)]","[(0, 10917.0126953125), (1, 6507.74560546875)]","[(0, 10013.400390625), (1, 8676.6259765625)]","[(0, 11018.533203125), (1, 9732.931640625)]","[(0, 2706.86865234375), (1, 2369.905029296875)]","[(4, 88.48847307477679), (3, 98.9447021484375), (1, 112.420166015625), (0, 121.1056659405048), (5, 174.01666259765625), (2, 224.0194373497596)]","[(0, 10727.8212890625), (1, 5453.3525390625)]","[(2, 140.5834021935096), (1, 169.23711286272322), (4, 197.44972581129807), (5, 217.2218221028646), (0, 256.9898274739583), (3, 480.52792080965907)]","[(0, 563.7769165039062), (1, 628.1688842773438)]","[(4, 84.11638641357422), (1, 87.7895278930664), (3, 132.51453508649553), (0, 137.5243879045759), (5, 152.24398367745536), (2, 158.82655552455358)]","[(0, 9709.291015625), (1, 7850.37890625)]"
5,"[(0, 1504.0648193359375), (1, 1905.5455322265625)]","[(0, 248.5733642578125), (1, 247.29725646972656)]","[(0, 6117.70166015625), (1, 6489.796875)]","[(0, 5205.76416015625), (1, 5319.72998046875)]","[(0, 10787.3349609375), (1, 6515.986328125)]","[(0, 13089.150390625), (1, 15287.8583984375)]","[(0, 6741.85009765625), (1, 7661.6240234375)]","[(0, 2805.19677734375), (1, 1812.8560791015625)]","[(4, 139.3715487393466), (5, 141.6576171875), (1, 158.37901722301137), (2, 161.05987548828125), (3, 190.9131591796875), (0, 223.5577880859375)]","[(0, 2033.852783203125), (1, 2184.964599609375)]","[(2, 93.33978740985577), (4, 108.1309063251202), (5, 122.5186055501302), (1, 139.78563581194197), (0, 176.12015787760416), (3, 235.1407137784091)]","[(0, 1014.7369995117188), (1, 1159.271728515625)]","[(4, 474.5030924479167), (1, 502.5497639973958), (5, 555.0393288352273), (2, 593.1052024147727), (3, 658.5304953835227), (0, 714.2761008522727)]","[(0, 2576.153076171875), (1, 2508.099365234375)]"
6,"[(0, 794.3495483398438), (1, 851.0269165039062)]","[(0, 1103.8768310546875), (1, 1783.4403076171875)]","[(0, 4719.9013671875), (1, 3924.390380859375)]","[(0, 3640.119873046875), (1, 4550.64013671875)]","[(0, 4643.3994140625), (1, 3658.499267578125)]","[(0, 10314.3857421875), (1, 8729.3623046875)]","[(0, 13980.0986328125), (1, 15322.0859375)]","[(0, 1266.013916015625), (1, 1012.25537109375)]","[(1, 254.84722900390625), (2, 259.841796875), (4, 260.81711832682294), (5, 265.2825372869318), (0, 375.2562144886364), (3, 383.4264470880682)]","[(0, 2175.230224609375), (1, 1952.2733154296875)]","[(4, 138.38949148995536), (3, 194.85591947115384), (1, 213.71700032552084), (5, 252.5897013346354), (0, 328.86714311079544), (2, 408.5868408203125)]","[(0, 2745.747314453125), (1, 2204.09228515625)]","[(1, 125.6869873046875), (3, 146.06673177083334), (0, 147.73432268415178), (2, 179.86087740384616), (5, 183.70645577566964), (4, 195.19151306152344)]","[(0, 15185.11328125), (1, 11984.20703125)]"
7,"[(0, 1127.995361328125), (1, 1339.5372314453125)]","[(0, 1729.1383056640625), (1, 3085.728515625)]","[(0, 3192.26904296875), (1, 3257.069091796875)]","[(0, 19875.52734375), (1, 16657.71484375)]","[(0, 5713.783203125), (1, 4164.40869140625)]","[(0, 4400.80419921875), (1, 5019.0458984375)]","[(0, 11752.3232421875), (1, 13876.42578125)]","[(0, 2146.389892578125), (1, 2049.842529296875)]","[(4, 175.903076171875), (1, 188.6463165283203), (5, 199.4488243689904), (2, 211.16599934895834), (0, 216.95171247209822), (3, 229.02764892578125)]","[(0, 1221.0416259765625), (1, 1306.4912109375)]","[(1, 384.5051935369318), (2, 425.978369140625), (4, 549.0167347301136), (5, 625.360546875), (0, 647.988330078125), (3, 941.7794921875)]","[(0, 1810.872314453125), (1, 1939.82666015625)]","[(4, 103.24111502511161), (1, 106.37997000558036), (5, 123.58090444711539), (2, 129.0649132361779), (3, 132.65644719050482), (0, 141.21717247596155)]","[(0, 13745.4404296875), (1, 11747.9296875)]"
8,"[(0, 1690.502685546875), (1, 2138.738037109375)]","[(0, 1379.0252685546875), (1, 2131.2216796875)]","[(0, 15553.314453125), (1, 15473.9990234375)]","[(0, 8819.736328125), (1, 9260.9775390625)]","[(0, 11972.064453125), (1, 7248.29931640625)]","[(0, 6676.38916015625), (1, 5949.19677734375)]","[(0, 8846.4404296875), (1, 7572.08935546875)]","[(0, 959.7813110351562), (1, 944.9364013671875)]","[(5, 44.90785319010417), (4, 49.41826248168945), (3, 58.97722574869792), (2, 60.242594401041664), (1, 64.65679168701172), (0, 80.93673502604166)]","[(0, 4378.291015625), (1, 5276.6708984375)]","[(4, 63.520965576171875), (5, 88.01102992466518), (2, 92.70133150540866), (1, 96.16481119791666), (3, 123.9952392578125), (0, 140.015625)]","[(0, 3031.923583984375), (1, 3296.348876953125)]","[(1, 52.003509521484375), (2, 59.20619303385417), (5, 66.05610002790179), (4, 67.17061767578124), (0, 109.68081229073661), (3, 131.79707219050482)]","[(0, 1600.9891357421875), (1, 1483.7509765625)]"
9,"[(0, 1353.3092041015625), (1, 1658.0408935546875)]","[(0, 772.337158203125), (1, 939.8468627929688)]","[(0, 4308.93603515625), (1, 5148.7822265625)]","[(0, 19774.5078125), (1, 18729.6640625)]","[(0, 3281.002685546875), (1, 2214.554443359375)]","[(0, 3733.019775390625), (1, 3304.92626953125)]","[(0, 10778.4091796875), (1, 12352.58203125)]","[(0, 1788.9466552734375), (1, 1647.2032470703125)]","[(2, 76.7745361328125), (1, 80.2925537109375), (5, 84.17874849759616), (4, 89.1614990234375), (0, 160.27347506009616), (3, 220.52591959635416)]","[(0, 1907.247314453125), (1, 2122.9765625)]","[(3, 71.53919893152573), (4, 74.33024766710069), (0, 111.92839050292969), (5, 125.64157104492188), (1, 131.81275850183823), (2, 176.31451822916668)]","[(0, 3376.94677734375), (1, 3102.1337890625)]","[(1, 83.67025320870536), (2, 103.81314791165866), (4, 121.75196251502403), (5, 163.78507486979166), (0, 209.809814453125), (3, 332.54738547585225)]","[(0, 3463.021240234375), (1, 3440.1669921875)]"
