,best
adjunct_island,0.724
superlative_quantifiers_2,0.482
anaphor_gender_agreement,0.703
tough_vs_raising_1,0.524
anaphor_number_agreement,0.643
tough_vs_raising_2,0.528
animate_subject_passive,0.59
wh_questions_subject_gap,0.898
animate_subject_trans,0.44
causative,0.481
wh_vs_that_no_gap,0.852
complex_NP_island,0.416
coordinate_structure_constraint_complex_left_branch,0.182
left_branch_island_echo_question,0.573
coordinate_structure_constraint_object_extraction,0.32
transitive,0.581
determiner_noun_agreement_1,0.594
wh_island,0.807
determiner_noun_agreement_2,0.534
only_npi_scope,0.223
determiner_noun_agreement_irregular_1,0.61
passive_1,0.466
determiner_noun_agreement_irregular_2,0.678
principle_A_domain_1,0.997
determiner_noun_agreement_with_adj_2,0.51
left_branch_island_simple_question,0.29
determiner_noun_agreement_with_adj_irregular_1,0.538
matrix_question_npi_licensor_present,0.025
determiner_noun_agreement_with_adj_irregular_2,0.543
npi_present_1,0.265
determiner_noun_agreement_with_adjective_1,0.527
principle_A_domain_2,0.513
distractor_agreement_relational_noun,0.386
principle_A_domain_3,0.524
distractor_agreement_relative_clause,0.447
drop_argument,0.393
wh_vs_that_with_gap,0.205
ellipsis_n_bar_1,0.468
ellipsis_n_bar_2,0.541
principle_A_reconstruction,0.178
existential_there_object_raising,0.667
regular_plural_subject_verb_agreement_1,0.521
existential_there_quantifiers_1,0.837
regular_plural_subject_verb_agreement_2,0.508
existential_there_quantifiers_2,0.43
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.491
wh_questions_object_gap,0.596
expletive_it_object_raising,0.619
inchoative,0.51
intransitive,0.395
sentential_negation_npi_scope,0.483
irregular_past_participle_adjectives,0.795
sentential_subject_island,0.384
irregular_past_participle_verbs,0.646
npi_present_2,0.317
irregular_plural_subject_verb_agreement_1,0.55
only_npi_licensor_present,0.975
irregular_plural_subject_verb_agreement_2,0.54
passive_2,0.425
principle_A_c_command,0.33
principle_A_case_1,1.0
principle_A_case_2,0.513
superlative_quantifiers_1,0.139
wh_questions_subject_gap_long_distance,0.897
wh_vs_that_no_gap_long_distance,0.889
wh_vs_that_with_gap_long_distance,0.188
